PID,ProductType,ProductName,Manufacturer,Part #,Color
12370,Memory,Kingston Blu Red Series 8 GB (1 x 8 GB) DDR3-1600 CL10 Memory (KHX16C10B1R/8),46,KHX16C10B1R/8,50
12371,Memory,Kingston 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (KHX16C9K2/16X),46,KHX16C9K2/16X,32
12372,Memory,Mushkin Silverline 32 GB (4 x 8 GB) DDR3-1600 CL11 Memory (994074),56,994074,73
12373,Memory,Lexar 8 GB (2 x 4 GB) DDR3-1600 CL11 Memory (CT2KIT51264BF160B),71,CT2KIT51264BF160B,21
12374,Memory,AMD Entertainment Edition 16 GB (2 x 8 GB) DDR3-1600 CL11 Memory (AE316G1601U2K),22,AE316G1601U2K,8
12375,Memory,Kingston 32 GB (4 x 8 GB) DDR3-1600 CL9 Memory (KHX16C9K4/32X),46,KHX16C9K4/32X,32
12376,Memory,Kingston Blu Red Series 2 GB (1 x 2 GB) DDR3-1600 CL9 Memory (KHX16C9B1R/2),46,KHX16C9B1R/2,50
12377,Memory,Patriot Viper 3 16 GB (4 x 4 GB) DDR3-1600 CL9 Memory (PV316G160C9QKRD),48,PV316G160C9QKRD,8
12378,Memory,Corsair Vengeance 8 GB (2 x 4 GB) DDR3-2400 CL10 Memory (CMZ8GX3M2A2400C10),29,CMZ8GX3M2A2400C10,2
12379,Memory,Patriot Viper 3 16 GB (2 x 8 GB) DDR3-2133 CL11 Memory (PV316G213C1KRD),48,PV316G213C1KRD,8
12380,Memory,Kingston 16 GB (2 x 8 GB) DDR3-1600 CL11 Memory (KVR16S11K2/16),46,KVR16S11K2/16,21
12381,Memory,Corsair ValueSelect 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (CMSO16GX3M2A1600C11),29,CMSO16GX3M2A1600C11,21
12382,Memory,Corsair Dominator 16 GB (2 x 8 GB) DDR3-1866 CL9 Memory (CMP16GX3M2X1866C9),29,CMP16GX3M2X1866C9,17
12383,Memory,Crucial Ballistix Tactical 4 GB (1 x 4 GB) DDR3-1600 CL8 Memory (BLT4G3D1608ET3LX0),42,BLT4G3D1608ET3LX0,18
12384,Memory,Kingston Predator Series 16 GB (2 x 8 GB) DDR3-1866 CL9 Memory (KHX18C9T2K2/16X),46,KHX18C9T2K2/16X,17
12385,Memory,Kingston Predator Series 32 GB (4 x 8 GB) DDR3-1600 CL9 Memory (KHX16C9T2K4/32X),46,KHX16C9T2K4/32X,17
12386,Memory,Kingston Blu Red Series 4 GB (2 x 2 GB) DDR3-1600 CL9 Memory (KHX16C9B1RK2/4),46,KHX16C9B1RK2/4,50
12387,Memory,Crucial Ballistix Sport 16 GB (4 x 4 GB) DDR3-1600 CL9 Memory (BLS4K4G3D1609ES2LX0),42,BLS4K4G3D1609ES2LX0,2
12388,Memory,G.Skill Trident X 8 GB (2 x 4 GB) DDR3-2400 CL9 Memory (F3-2400C9D-8GTXD),43,F3-2400C9D-8GTXD,8
12389,Memory,Corsair Dominator Platinum 16 GB (4 x 4 GB) DDR3-2400 CL9 Memory (CMD16GX3M4A2400C10),29,CMD16GX3M4A2400C10,2
12390,Memory,Kingston Beast 32 GB (4 x 8 GB) DDR3-2133 CL11 Memory (KHX21C11T3K4/32X),46,KHX21C11T3K4/32X,1
12391,Memory,Crucial Ballistix Sport 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory (BLS2K4G3D1609ES2LX0),42,BLS2K4G3D1609ES2LX0,2
12392,Memory,Crucial Ballistix Sport 32 GB (4 x 8 GB) DDR3-1600 CL9 Memory (BLS4K8G3D1609ES2LX0),42,BLS4K8G3D1609ES2LX0,2
