PID,Height,Fanless,Fan RPM Min,Fan RPM Max,Noise Level Min,Noise Level Max,Bearing,Water Cooler Radiator
28968,,N,800,2000,21,37,,280
28969,28,N,1000,5500,56,,3,
28970,,N,800,2400,12,35,,240
28971,154.5,N,900,1500,17.8,30,,
28972,,N,800,1800,28,,,360
28973,,N,800,1900,28.8,,,120
28974,,N,600,2200,13,37,,240
28975,,N,600,2400,16,38,,240
28976,140,N,650,3000,6,30,,
28977,63,N,500,1800,32.5,,,
28978,55,N,2600,,28,,,
28979,,N,700,1800,18,35.2,,240
28980,167,N,1600,,36,,,
28981,152,N,900,2000,17,24,,
28982,74,N,700,1300,24,,,
28983,,N,1000,2000,20,,,240
28984,75,N,700,2200,9,29,,
28985,56,N,2400,,8,24,2,
28986,157.5,N,500,1650,27.8,,,
28987,37,N,2500,,20,28.3,,
28988,,N,500,2300,14,28,,240
28989,135,N,300,2300,7.3,28.83,,
28990,160,N,900,1300,16.1,22.5,,
28991,135,N,800,2000,9.9,21.9,,
28992,,N,500,1800,17.6,31.3,,120
28993,159,N,900,1500,17.8,30,,
28994,,N,500,1800,30,,,360
28995,159,N,700,1800,18,35.2,,
28996,41,N,3200,,25.17,,,
28997,123,N,2000,,8,24,2,
28998,56,N,2400,,8,24,2,
28999,159,N,300,1400,13,18,,
29000,135,N,2200,,17.8,30.1,,
29001,156,N,500,1500,17.8,27,,
29002,150,N,500,1500,4.6,27.3,,
29003,155,N,200,1800,24.4,,,
29004,,N,900,2000,16.3,33.5,,240
29005,153.5,N,600,1800,16.1,27.7,,
29006,,N,1000,3000,,,,
29007,,N,900,2000,16.3,33.5,,240
29008,63,N,2900,,29.58,,1,
29009,,N,500,2000,14,28,,240
29010,28,N,1000,7000,21.5,59.14,3,
29011,81,N,1600,2000,26,31.5,,
29012,125,N,1000,1600,7.9,17.6,,
29013,,N,500,1350,22.5,,,360
29014,159,N,500,1600,21,,,
29015,,N,700,1800,18,35.2,,360
29016,,N,500,2000,36.4,,,280
29017,160,N,1600,,15.3,25.4,1,
29018,,N,650,2000,6,30,,240
29019,58,N,500,2000,9.32,33.67,0,
29020,,N,,,,,,
29021,,N,500,2300,14,28,,360
29022,,N,1000,2000,20,,,120
29023,,N,500,1600,,,,360
29024,,N,500,1800,17.8,30,,240
29025,165,N,500,1800,17.8,41.5,,
29026,160,Y,,,0,,,
29027,,N,600,1800,35,,,360
29028,136,N,650,2000,22.95,,,
29029,125,N,1000,2650,17,33,,
29030,57,N,600,1600,13.8,30.2,,
29031,140,N,1400,,12,19.2,,
29032,150,N,200,1800,24.4,,,
29033,,N,500,1500,19,23.9,,240
29034,,N,1700,,30.32,,,120
29035,157,N,200,2100,24.4,,,
29036,166,N,1300,,8.7,21.2,2,
29037,,N,500,1800,17.6,31.3,,240
29038,,N,2000,,16.1,36.9,,120
29039,,N,400,1800,28,,,240
29040,140,N,800,1700,22,,,
29041,68,N,200,1400,28.43,,,
29042,,N,1600,2000,26,31.5,,120
29043,67,N,2000,,22.5,,2,
29044,,N,500,2000,6,30,,240
29045,33,N,600,1800,17.8,34.1,,120
29046,,N,500,1800,17.6,31.3,,120
29047,158.8,N,650,2000,8,30,,
29048,,N,700,1800,18,35.2,,120
29049,66,N,1200,5000,18.02,42.5,3,
29050,58,N,1200,2500,26,,,
29051,148,N,300,1600,25,,,
29052,41,N,1000,2500,14.7,29.8,3,
29053,165,N,800,1500,27,,,
29054,74,N,500,1800,25,,,
29055,,N,650,2000,15,,,120
29056,152,N,900,1700,18,30,,
29057,146,N,500,1600,,,,
29058,,N,1000,2000,20,,,240
29059,159,N,1300,,26.6,,,
29060,60,N,500,2000,9.32,33.67,0,
29061,150,N,,,,,,
29062,,N,700,1500,18,26.4,,120
29063,,N,600,1800,34.1,,,240
29064,,N,550,1700,29,,,120
29065,47,N,600,2500,14,33,,
29066,,N,500,2200,36.8,,,360
29067,160,N,800,1500,29,,,
29068,,N,400,1800,28,,,360
29069,129,N,850,2200,14,29.8,,
29070,27,Y,,,,,,
29071,153.5,N,600,1800,16.1,27.7,,
29072,82,N,900,2000,14,,2,
29073,158.5,N,650,2000,,,,
29074,105,N,2000,,22,,,
29075,,N,500,2000,16,35,,120
29076,,N,500,1350,,,,120
29077,157.5,N,300,1200,4,24.9,,
29078,147,N,1000,1800,26.3,,,
29079,,N,800,1500,25,,,240
29080,154.5,N,600,1700,16.1,27.7,,
29081,131,N,600,2200,14,25.8,,
29082,82,N,1000,2200,,,,
29083,125,N,1350,2600,18,27.5,3,
29084,59,N,500,1600,8,30,0,
29085,28,N,1100,6000,19.1,53.8,3,
29086,155,N,300,1200,4,24.9,,
29087,,N,500,1600,23.5,,,240
29088,,N,2000,,,,,120
29089,166,N,1500,,6.6,18.8,2,
29090,150,N,,,,,,
29091,,N,650,2000,6,30,,140
29092,,N,500,1800,30,,,240
29093,134,N,1500,2800,14.1,27.7,,
29094,160,N,800,1800,16,26,,
29095,,N,1100,,29.4,,,280
29096,160,N,800,1300,11,20,1,
29097,,N,500,1800,17.6,31.3,,120
29098,161,N,800,1800,17,21,1,
29099,130,N,500,2000,22.5,,,
29100,,N,2400,,6.5,27,,120
29101,,N,500,1800,17.6,31.3,,240
29102,45,N,1000,4000,12,40,,
